symbol,t_stat
F13B,-1.342108369704965
IGHV4-34,-1.3618712841480005
IGLV3-9,-1.3626863314737279
LOC400499,-1.3669681807042156
AZGP1,-1.3849573788644858
PTGDS,-1.409053730496996
CTSZ,-1.4147618515037448
CD5L,-1.4265693203678484
HYDIN,-1.4389748855003859
LRP1,-1.4526748258964337
IGHV6-1,-1.4681350041988481
IGHG2,-1.4781217577055696
IGHV1-46,-1.4928320314535641
IGLV8-61,-1.4958108066581821
IGHA1,-1.5048456083469144
DPT,-1.5257188491650426
SERPINA6,-1.5425094229895373
IGKV4-1,-1.5484077583386016
CNDP1,-1.5523630044331835
B2M,-1.5801052027983007
GPLD1,-1.581745535951892
EFEMP1,-1.5890023864256506
FCGBP,-1.590210500453918
CDH13,-1.6055312903802808
HFM1,-1.6563021025657663
IGHV1-69-2,-1.65879658442138
IGHV3-15,-1.6593068560398485
TNXB,-1.6610082597997282
HP,-1.6643904889389363
IGHV3-30-3,-1.6648203455531758
AMY1B,-1.6709622174857957
C7,-1.6737428967858174
IGHV3-48,-1.6776759080589492
IGKV2-28,-1.6790029134668072
IGKJ1,-1.6906947169897626
HINT1,-1.6972927311760966
IGLC3,-1.7042381765072292
VNN1,-1.7119827491932567
IGLV1-44,-1.7301743768952507
CRTAC1,-1.7339923362818306
ATRN,-1.7393529820489437
CHIT1,-1.7440894864877914
ANPEP,-1.7457713709458416
IGLL1,-1.7522225050682154
IGHV3-72,-1.7750714987452036
CD109,-1.799257842459038
CD14,-1.8080190211092682
IGKV2D-30,-1.829304217354774
APOC4-APOC2,-1.8682016744567478
IGHV3OR16-10,-1.8685482350373153
VCAM1,-1.887784120046555
ROBO4,-1.8993544442057766
ADGRF5,-1.902236625072617
LAMP1,-1.9024885031525112
APOM,-1.911596672610683
IGFBP2,-1.9209717990892592
APOD,-1.9251944670216747
PON1,-1.9286020623327245
IGHV1-45,-1.931829452447303
FCGR3B,-1.9413840941951295
IGLV6-57,-1.9565754832455104
PTPRG,-1.9728465016399421
C18ORF63,-1.9787423644390545
IGHV2-70,-1.9989639928856406
MRC1,-2.025221106527081
IGKV1-16,-2.027640390735314
CNTN1,-2.032368820652126
PPL,-2.049101569578152
HSPG2,-2.07611150382433
IGLV3-25,-2.1121157388001115
BCHE,-2.124201882548195
F10,-2.148591833119559
SERPIND1,-2.1505252746757293
IGLV2-23,-2.1675841030101988
HEG1,-2.183083759776482
IGKV1-37,-2.1876489024476995
IGKV2D-29,-2.198468684585299
DPP4,-2.220285519786257
FUCA1,-2.2251778851377058
IGKV3D-15,-2.2316876895561633
CP,-2.2718505010038648
PGLYRP2,-2.274719153164509
PLXNB1,-2.282427464924101
FCN2,-2.3024651679894097
A1BG,-2.307110870521152
BTD,-2.3208986092654613
IGHA2,-2.3393346936319506
C1R,-2.3494503633630366
CDH5,-2.355844925660717
IGLV2-8,-2.3596510359613334
UMOD,-2.366937833590849
IGLV1-36,-2.3969090830085777
NCAM1,-2.414631792365123
IGLV3-19,-2.4394356215046424
GC,-2.4512641929087287
FUCA2,-2.4578275205562443
EXTL2,-2.467608447969399
DBH,-2.4726175709750584
MASP1,-2.4863007424818377
IGHV4-28,-2.5017092897993303
PLXDC2,-2.5150265098952316
RBP4,-2.5408525343998725
AMBP,-2.5553908502031693
PLG,-2.5752134347805855
CDH1,-2.6129710728045756
LYVE1,-2.7052163400078455
IGHG4,-2.713341433711368
HGFAC,-2.714124697262195
IGHV3-35,-2.7261554473861387
LUM,-2.734433837606264
IGKV2-40,-2.735142631952673
IGHV3OR16-13,-2.749681339315595
IGKC,-2.758160770721396
LTF,-2.770276847037887
EIF4G3,-2.8012260795154504
IGLV2-18,-2.8331657580236147
IGLC2,-2.8649857957350164
MCAM,-2.944524330179298
AFM,-2.962249789134233
TFRC,-2.968666414293322
ALB,-2.9799367165169968
CACNA2D1,-3.07083606323849
ABI3BP,-3.075696384957738
IGHV3-9,-3.118936339638771
SERPINA3,-3.171608632104168
APOE,-3.193919405308286
DSG2,-3.197588813416796
CPN2,-3.2003382897937915
CD163,-3.203096057789451
APOA4,-3.2047533224786933
PROS1,-3.2434477562814736
GSN,-3.263515525812915
LPA,-3.2653285541768646
ITIH2,-3.270760515466856
IGLV1-47,-3.315272932089193
C4A,-3.3202321931246326
AOC3,-3.361103440963244
ITIH1,-3.493802839470097
PEPD,-3.4980069671350953
CRISP3,-3.5378134314176313
SERPINA1,-3.602160266388376
THBS4,-3.6046770097277774
ADIPOQ,-3.629763465914763
IGHV3-13,-3.845010880570453
SERPINF2,-3.8549915558123544
CHL1,-3.919053397204195
C1S,-4.016111550661681
TF,-4.1682136463645465
A2M,-4.212485188651107
IGHG1,-4.232319783911779
SERPING1,-4.23909382157797
APOC4,-4.349037186216512
IGLL5,-4.540735189454755
GPX3,-5.004782675270012
COMP,-5.242847290572882
C3,-5.9891745369753755
